Total_Emissions,City,Harvey,Event_Type,Event_Start_Date,Y,X,Zip,Total_2017_Events
679,DEER PARK,YES,EMISSIONS EVENT,8/28/2017,29.718083,-95.133556,77536,20
"22,197",SUNDOWN,NO,EMISSIONS EVENT,9/7/2017,33.464714,-102.555,79372,2
428,WHITSETT,YES,EMISSIONS EVENT,8/27/2017,28.708992,-98.050164,78119,2
919,OLD OCEAN,YES,EMISSIONS EVENT,8/27/2017,29.070847,-95.750363,77463,6
"7,368",WINTERS,NO,EMISSIONS EVENT,8/24/2017,31.983891,-99.780281,79567,1
"9,429",MIDLAND,YES,EMISSIONS EVENT,9/1/2017,31.917817,-101.903485,79701,2
"70,110",PORT ARTHUR,YES,EMISSIONS EVENT,8/30/2017,29.962997,-93.890203,77642,22
"3,509",PORT NECHES,YES,EMISSIONS EVENT,8/29/2017,29.980003,-93.946019,77651,7
"2,000",PORT NECHES,YES,EMISSIONS EVENT,9/1/2017,29.980003,-93.946019,77651,7
13,SEADRIFT,YES,EMISSIONS EVENT,8/30/2017,28.510636,-96.771528,77983,1
"1,090",TEXAS CITY,YES,EMISSIONS EVENT,8/29/2017,29.378571,-94.943963,77590,2
"1,800",CORPUS CHRISTI,YES,EMISSIONS EVENT,9/3/2017,27.812578,-97.443547,78403,5
"8,600",CORPUS CHRISTI,YES,EMISSIONS EVENT,9/3/2017,27.81775,-97.482553,78407,6
230,CORPUS CHRISTI,YES,EMISSIONS EVENT,9/6/2017,27.81775,-97.482553,78407,6
"235,412",HOUSTON,YES,EMISSIONS EVENT,8/27/2017,29.722274,-95.254401,77012,2
"6,116",PORT ARTHUR,YES,AIR STARTUP,9/3/2017,29.859081,-93.968242,77640,21
"62,502",PORT ARTHUR,YES,AIR SHUTDOWN,8/29/2017,29.859081,-93.968242,77640,21
"6,116",PORT ARTHUR,YES,AIR STARTUP,9/3/2017,29.859081,-93.968242,77640,21
"6,116",PORT ARTHUR,YES,AIR STARTUP,9/3/2017,29.859081,-93.968242,77640,21
"284,915",PORT ARTHUR,YES,AIR STARTUP,9/4/2017,29.859081,-93.968242,77640,21
"4,235",DENVER CITY,NO,EMISSIONS EVENT,8/28/2017,33.022831,-102.766523,79323,8
821,WELCH,NO,EMISSIONS EVENT,8/31/2017,32.896944,-102.136939,79377,18
"1,114",WELCH,NO,EMISSIONS EVENT,9/4/2017,32.896944,-102.136939,79377,18
"2,350",WELCH,NO,EMISSIONS EVENT,9/5/2017,32.896944,-102.136939,79377,18
"7,916",CRANE,NO,EMISSIONS EVENT,8/23/2017,31.475934,-102.698851,79731,6
"2,926",CRANE,NO,EMISSIONS EVENT,8/25/2017,31.475934,-102.698851,79731,6
